latitude,longitude
37.792037,-122.402495
37.791778,-122.403544
37.793587,-122.401137
37.791957,-122.40212
37.792798,-122.403492
37.792861,-122.403207
37.792919,-122.40283
37.792416,-122.400902
37.792737,-122.404035
37.791811,-122.403281
37.791707,-122.404041
37.793422,-122.402786
37.793088,-122.40272
37.791771,-122.403596
37.792919,-122.40283
37.792513,-122.401871
37.792919,-122.40283
37.792798,-122.403492
37.791771,-122.403596
37.792919,-122.40283
37.792919,-122.40283
37.791437,-122.40734
37.791399,-122.406632
37.791437,-122.40734
37.791478,-122.406081
37.791252,-122.407753
37.791025,-122.405636
37.793913,-122.407813
37.795682,-122.409475
37.795731,-122.409112
37.795707,-122.409176
37.795743,-122.409001
37.795755,-122.408907
37.795761,-122.408857
37.795767,-122.408806
37.795774,-122.408599
37.794648,-122.40968
37.79437,-122.409629
37.795422,-122.40814
37.795338,-122.408121
37.79534,-122.408102
37.795297,-122.408112
37.795227,-122.408097
37.795229,-122.408078
37.795187,-122.408069
37.79392,-122.409108
37.79398,-122.40875
37.794821,-122.409032
37.794443,-122.407934
37.794429,-122.407931
37.794414,-122.407928
37.7944,-122.407925
37.794388,-122.407904
37.794217,-122.407869
37.794172,-122.407879
37.794174,-122.40786
37.793983,-122.407825
37.793955,-122.40782
37.795216,-122.405872
37.795211,-122.40592
37.787742,-122.42031
37.794265,-122.418042
37.791645,-122.420908
37.805325,-122.423375
37.787403,-122.423014
37.789257,-122.420403
37.787729,-122.420268
37.790714,-122.41967
37.790826,-122.418817
37.79538,-122.419042
37.787817,-122.420102
37.790686,-122.41988
37.790283,-122.420633
37.795025,-122.418203
37.805352,-122.423165
37.791661,-122.420892
37.792715,-122.421103
37.789956,-122.42057
37.789807,-122.420541
37.793222,-122.422831
37.789197,-122.420409
37.789838,-122.420528
37.789942,-122.420548
37.79003,-122.420584
37.790774,-122.419224
37.788765,-122.420323
37.794244,-122.421402
37.794545,-122.418295
37.788629,-122.422076
37.787169,-122.421778
37.787005,-122.421745
37.790707,-122.420717
37.788941,-122.423733
37.786814,-122.42327
37.79291,-122.421141
37.792868,-122.421133
37.792701,-122.4211
37.792562,-122.421073
37.786888,-122.419918
37.788208,-122.424218
37.791588,-122.420896
37.789566,-122.420971
37.785686,-122.436372
37.786469,-122.419853
37.791859,-122.420951
37.790644,-122.420195
37.787155,-122.424854
37.787425,-122.422673
37.786095,-122.425695
37.788359,-122.420233
37.790442,-122.422435
37.790206,-122.423518
37.787158,-122.421776
37.788065,-122.42015
37.795695,-122.416454
37.786704,-122.420849
37.790781,-122.420732
37.790283,-122.420633
